Year,Age of Spouse,Age of Spouse,Marriages
2012,16-19,16-19,214
2012,16-19,20-24,484
2012,16-19,25-29,133
2012,16-19,30-34,34
2012,16-19,35-39,7
2012,16-19,40-44,2
2012,16-19,45-49,2
2012,16-19,50+,2
2012,16-19,N.S./N.P.,0
2012,20-24,16-19,484
2012,20-24,20-24,7230
2012,20-24,25-29,4918
2012,20-24,30-34,1062
2012,20-24,35-39,238
2012,20-24,40-44,66
2012,20-24,45-49,30
2012,20-24,50+,16
2012,20-24,N.S./N.P.,0
2012,25-29,16-19,133
2012,25-29,20-24,4918
2012,25-29,25-29,23564
2012,25-29,30-34,8403
2012,25-29,35-39,1741
2012,25-29,40-44,418
2012,25-29,45-49,130
2012,25-29,50+,76
2012,25-29,N.S./N.P.,0
2012,30-34,16-19,34
2012,30-34,20-24,1062
2012,30-34,25-29,8403
2012,30-34,30-34,12190
2012,30-34,35-39,3925
2012,30-34,40-44,1158
2012,30-34,45-49,355
2012,30-34,50+,131
2012,30-34,N.S./N.P.,0
2012,35-39,16-19,7
2012,35-39,20-24,238
2012,35-39,25-29,1741
2012,35-39,30-34,3925
2012,35-39,35-39,4014
2012,35-39,40-44,1901
2012,35-39,45-49,706
2012,35-39,50+,378
2012,35-39,N.S./N.P.,0
2012,40-44,16-19,2
2012,40-44,20-24,66
2012,40-44,25-29,418
2012,40-44,30-34,1158
2012,40-44,35-39,1901
2012,40-44,40-44,2208
2012,40-44,45-49,1312
2012,40-44,50+,844
2012,40-44,N.S./N.P.,0
2012,45-49,16-19,2
2012,45-49,20-24,30
2012,45-49,25-29,130
2012,45-49,30-34,355
2012,45-49,35-39,706
2012,45-49,40-44,1312
2012,45-49,45-49,1866
2012,45-49,50+,1841
2012,45-49,N.S./N.P.,0
2012,50+,16-19,2
2012,50+,20-24,16
2012,50+,25-29,76
2012,50+,30-34,131
2012,50+,35-39,378
2012,50+,40-44,844
2012,50+,45-49,1841
2012,50+,50+,8576
2012,50+,N.S./N.P.,0
2013,16-19,16-19,158
2013,16-19,20-24,401
2013,16-19,25-29,115
2013,16-19,30-34,27
2013,16-19,35-39,3
2013,16-19,40-44,3
2013,16-19,45-49,1
2013,16-19,50+,2
2013,16-19,N.S./N.P.,0
2013,20-24,16-19,401
2013,20-24,20-24,6840
2013,20-24,25-29,4644
2013,20-24,30-34,935
2013,20-24,35-39,231
2013,20-24,40-44,70
2013,20-24,45-49,36
2013,20-24,50+,11
2013,20-24,N.S./N.P.,0
2013,25-29,16-19,115
2013,25-29,20-24,4644
2013,25-29,25-29,22668
2013,25-29,30-34,8187
2013,25-29,35-39,1630
2013,25-29,40-44,397
2013,25-29,45-49,131
2013,25-29,50+,59
2013,25-29,N.S./N.P.,0
2013,30-34,16-19,27
2013,30-34,20-24,935
2013,30-34,25-29,8187
2013,30-34,30-34,12004
2013,30-34,35-39,3798
2013,30-34,40-44,1079
2013,30-34,45-49,306
2013,30-34,50+,178
2013,30-34,N.S./N.P.,0
2013,35-39,16-19,3
2013,35-39,20-24,231
2013,35-39,25-29,1630
2013,35-39,30-34,3798
2013,35-39,35-39,3788
2013,35-39,40-44,1719
2013,35-39,45-49,631
2013,35-39,50+,368
2013,35-39,N.S./N.P.,0
2013,40-44,16-19,3
2013,40-44,20-24,70
2013,40-44,25-29,397
2013,40-44,30-34,1079
2013,40-44,35-39,1719
2013,40-44,40-44,1980
2013,40-44,45-49,1189
2013,40-44,50+,753
