Year/Année,Marital Status of One Spouse / État matrimonial d’un des époux,Marital Status - Other Spouse/État matrimonial de l’autre époux ou épouse,Marriages/mariages
2012,Divorced / Divorcé(e),Divorced / Divorcé(e),6396
2012,Divorced / Divorcé(e),Never Married / Célibataire,4733
2012,Divorced / Divorcé(e),Not Stated / Non précisé,2
2012,Divorced / Divorcé(e),Widowed / Veuf/Veuve,643
2012,Never Married / Célibataire,Divorced / Divorcé(e),4733
2012,Never Married / Célibataire,Never Married / Célibataire,42095
2012,Never Married / Célibataire,Not Stated / Non précisé,17
2012,Never Married / Célibataire,Widowed / Veuf/Veuve,261
2012,Not stated / Non précisé,Divorced / Divorcé(e),2
2012,Not stated / Non précisé,Never Married / Célibataire,17
2012,Not stated / Non précisé,Not Stated / Non précisé,0
2012,Not stated / Non précisé,Widowed / Veuf/Veuve,0
2012,Widowed / Veuf/Veuve,Divorced / Divorcé(e),643
2012,Widowed / Veuf/Veuve,Never Married / Célibataire,261
2012,Widowed / Veuf/Veuve,Not Stated / Non précisé,0
2012,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,442
2013,Divorced / Divorcé(e),Divorced / Divorcé(e),5919
2013,Divorced / Divorcé(e),Never Married / Célibataire,4390
2013,Divorced / Divorcé(e),Not Stated / Non précisé,0
2013,Divorced / Divorcé(e),Widowed / Veuf/Veuve,566
2013,Never Married / Célibataire,Divorced / Divorcé(e),4390
2013,Never Married / Célibataire,Never Married / Célibataire,40673
2013,Never Married / Célibataire,Not Stated / Non précisé,0
2013,Never Married / Célibataire,Widowed / Veuf/Veuve,219
2013,Not stated / Non précisé,Divorced / Divorcé(e),0
2013,Not stated / Non précisé,Never Married / Célibataire,0
2013,Not stated / Non précisé,Not Stated / Non précisé,0
2013,Not stated / Non précisé,Widowed / Veuf/Veuve,0
2013,Widowed / Veuf/Veuve,Divorced / Divorcé(e),566
2013,Widowed / Veuf/Veuve,Never Married / Célibataire,219
2013,Widowed / Veuf/Veuve,Not Stated / Non précisé,0
2013,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,855
2014,Divorced / Divorcé(e),Divorced / Divorcé(e),6176
2014,Divorced / Divorcé(e),Never Married / Célibataire,5121
2014,Divorced / Divorcé(e),Not Stated / Non précisé,4
2014,Divorced / Divorcé(e),Widowed / Veuf/Veuve,561
2014,Never Married / Célibataire,Divorced / Divorcé(e),3949
2014,Never Married / Célibataire,Never Married / Célibataire,42444
2014,Never Married / Célibataire,Not Stated / Non précisé,11
2014,Never Married / Célibataire,Widowed / Veuf/Veuve,204
2014,Not stated / Non précisé,Divorced / Divorcé(e),4
2014,Not stated / Non précisé,Never Married / Célibataire,15
2014,Not stated / Non précisé,Not Stated / Non précisé,1
2014,Not stated / Non précisé,Widowed / Veuf/Veuve,0
2014,Widowed / Veuf/Veuve,Divorced / Divorcé(e),594
2014,Widowed / Veuf/Veuve,Never Married / Célibataire,264
2014,Widowed / Veuf/Veuve,Not Stated / Non précisé,0
2014,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,441
2015,Divorced / Divorcé(e),Divorced / Divorcé(e),6197
2015,Divorced / Divorcé(e),Never Married / Célibataire,5169
2015,Divorced / Divorcé(e),Not Stated / Non précisé,1
2015,Divorced / Divorcé(e),Widowed / Veuf/Veuve,651
2015,Never Married / Célibataire,Divorced / Divorcé(e),4092
2015,Never Married / Célibataire,Never Married / Célibataire,43445
2015,Never Married / Célibataire,Not Stated / Non précisé,21
2015,Never Married / Célibataire,Widowed / Veuf/Veuve,211
2015,Not stated / Non précisé,Divorced / Divorcé(e),2
2015,Not stated / Non précisé,Never Married / Célibataire,15
2015,Not stated / Non précisé,Not Stated / Non précisé,0
2015,Not stated / Non précisé,Widowed / Veuf/Veuve,0
2015,Widowed / Veuf/Veuve,Divorced / Divorcé(e),599
2015,Widowed / Veuf/Veuve,Never Married / Célibataire,245
2015,Widowed / Veuf/Veuve,Not Stated / Non précisé,0
2015,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,378
2016,Divorced / Divorcé(e),Divorced / Divorcé(e),6142
2016,Divorced / Divorcé(e),Never Married / Célibataire,5047
2016,Divorced / Divorcé(e),Not Stated / Non précisé,0
2016,Divorced / Divorcé(e),Widowed / Veuf/Veuve,588
2016,Never Married / Célibataire,Divorced / Divorcé(e),3974
2016,Never Married / Célibataire,Never Married / Célibataire,44419
2016,Never Married / Célibataire,Not Stated / Non précisé,14
2016,Never Married / Célibataire,Widowed / Veuf/Veuve,183
2016,Not stated / Non précisé,Divorced / Divorcé(e),3
2016,Not stated / Non précisé,Never Married / Célibataire,15
2016,Not stated / Non précisé,Not Stated / Non précisé,0
2016,Not stated / Non précisé,Widowed / Veuf/Veuve,0
2016,Widowed / Veuf/Veuve,Divorced / Divorcé(e),600
2016,Widowed / Veuf/Veuve,Never Married / Célibataire,268
2016,Widowed / Veuf/Veuve,Not Stated / Non précisé,0
2016,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,431
2017,Divorced / Divorcé(e),Divorced / Divorcé(e),6170
2017,Divorced / Divorcé(e),Never Married / Célibataire,5133
2017,Divorced / Divorcé(e),Not stated / Non précisé,1
2017,Divorced / Divorcé(e),Widowed / Veuf/Veuve,593
2017,Never Married / Célibataire,Divorced / Divorcé(e),3906
2017,Never Married / Célibataire,Never Married / Célibataire,45350
2017,Never Married / Célibataire,Not stated / Non précisé,16
2017,Never Married / Célibataire,Widowed / Veuf/Veuve,182
2017,Not stated / Non précisé,Divorced / Divorcé(e),1
2017,Not stated / Non précisé,Never Married / Célibataire,3
2017,Not stated / Non précisé,Not stated / Non précisé,0
2017,Not stated / Non précisé,Widowed / Veuf/Veuve,1
2017,Widowed / Veuf/Veuve,Divorced / Divorcé(e),577
2017,Widowed / Veuf/Veuve,Never Married / Célibataire,259
2017,Widowed / Veuf/Veuve,Not stated / Non précisé,2
2017,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,365
2018,Divorced / Divorcé(e),Divorced / Divorcé(e),6118
2018,Divorced / Divorcé(e),Not stated / Non précisé,5
2018,Divorced / Divorcé(e),Widowed / Veuf/Veuve,641
2018,Divorced / Divorcé(e),Never Married / Célibataire,5159
2018,Never Married / Célibataire,Divorced / Divorcé(e),3841
2018,Never Married / Célibataire,Not stated / Non précisé,4
2018,Never Married / Célibataire,Widowed / Veuf/Veuve,190
2018,Never Married / Célibataire,Never Married / Célibataire,46823
2018,Not stated / Non précisé,Divorced / Divorcé(e),0
2018,Not stated / Non précisé,Not stated / Non précisé,0
2018,Not stated / Non précisé,Widowed / Veuf/Veuve,0
2018,Not stated / Non précisé,Never Married / Célibataire,2
2018,Widowed / Veuf/Veuve,Divorced / Divorcé(e),553
2018,Widowed / Veuf/Veuve,Not stated / Non précisé,0
2018,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,409
2018,Widowed / Veuf/Veuve,Never Married / Célibataire,259
2019,Not stated / Non précisé,Divorced / Divorcé(e),1
2019,Not stated / Non précisé,Never Married / Célibataire,3
2019,Divorced / Divorcé(e),Divorced / Divorcé(e),5871
2019,Divorced / Divorcé(e),Never Married / Célibataire,3701
2019,Divorced / Divorcé(e),Widowed / Veuf/Veuve,581
2019,Never Married / Célibataire,Divorced / Divorcé(e),5011
2019,Never Married / Célibataire,Never Married / Célibataire,45966
2019,Never Married / Célibataire,Widowed / Veuf/Veuve,235
2019,Widowed / Veuf/Veuve,Divorced / Divorcé(e),593
2019,Widowed / Veuf/Veuve,Never Married / Célibataire,202
2019,Widowed / Veuf/Veuve,Widowed / Veuf/Veuve,375
